Departure station,Departure,Return station,Return,Duration (sec.),Covered distance (m),departure_latitude,departure_longitude,return_latitude,return_longitude
Port Marianne,2023-12-15 16:46:08,Nouveau Saint-Roch,2023-12-15 17:29:27,2595,2899.0,43.6059165,3.9168169,43.5992903,3.8756446
Richter,2023-12-15 16:41:47,Odysseum,2023-12-15 16:49:54,483,2009.0,43.6037969,3.8989223,43.60441055,3.9212018171142855
Observatoire,2023-12-15 16:41:40,Plan Cabanes,2023-12-15 16:45:23,219,855.0,43.61452665,3.871080728556718,43.60849965,3.868610969046943
Comédie,2023-12-15 16:39:38,Pérols,2023-12-15 19:55:36,11753,21777.0,43.60918635,3.8815040936105776,43.557928,3.963561
Renouvier,2023-12-15 16:38:05,Renouvier,2023-12-15 18:05:35,5245,4845.0,43.60358,3.8678865,43.60358,3.8678865
Renouvier,2023-12-15 16:36:40,Renouvier,2023-12-15 18:05:02,5297,4567.0,43.60358,3.8678865,43.60358,3.8678865
Marie Caizergues,2023-12-15 16:35:54,Tonnelles,2023-12-15 16:53:20,1041,3361.0,43.619655,3.8733067,43.6140875,3.83801455899281
Halles Castellane,2023-12-15 16:31:33,Médiathèque Emile Zola,2023-12-15 16:41:02,560,1470.0,43.61012445,3.876843401959306,43.6082468,3.8930561
Saint-Guilhem - Courreau,2023-12-15 16:28:51,Saint-Guilhem - Courreau,2023-12-15 17:31:49,3773,2856.0,43.6081132,3.8735064,43.6081132,3.8735064
Boutonnet,2023-12-15 16:20:26,Saint-Guilhem - Courreau,2023-12-15 16:40:31,1202,2005.0,43.6198269,3.8681402,43.6081132,3.8735064
Plan Cabanes,2023-12-15 16:19:36,Boutonnet,2023-12-15 16:28:26,525,1974.0,43.60849965,3.868610969046943,43.6198269,3.8681402
Saint-Denis,2023-12-15 16:18:27,Plan Cabanes,2023-12-15 16:22:11,219,692.0,43.6050394,3.8750227,43.60849965,3.868610969046943
Nouveau Saint-Roch,2023-12-15 16:12:10,Près d'Arènes,2023-12-15 16:18:55,400,1339.0,43.5992903,3.8756446,43.5936317,3.8877518
Place Viala,2023-12-15 16:10:28,Parvis Jules Ferry,2023-12-15 16:20:28,596,2875.0,43.6168167,3.8550842,43.87068,3.83801
Corum,2023-12-15 16:06:54,Les Aubes,2023-12-15 16:26:12,1153,3187.0,43.614366,3.882027979797976,43.6192157,3.8913335
Richter,2023-12-15 16:06:51,Comédie,2023-12-15 16:47:22,2426,2101.0,43.6037969,3.8989223,43.60918635,3.8815040936105776
Antigone Centre,2023-12-15 16:04:20,Louis Blanc,2023-12-15 16:11:31,426,1541.0,43.6079184,3.8905276,43.6146919,3.8782052427712976
Richter,2023-12-15 16:00:31,Charles Flahault,2023-12-15 16:21:47,1272,3838.0,43.6037969,3.8989223,43.6184031,3.8663896
Voltaire,2023-12-15 15:59:40,Antigone Centre,2023-12-15 16:03:48,242,718.0,43.6037049,3.8892253,43.6079184,3.8905276
Pérols,2023-12-15 15:53:49,Pérols,2023-12-15 17:26:35,5562,6869.0,43.557928,3.963561,43.557928,3.963561
Observatoire,2023-12-15 15:53:21,Place Albert 1er - St-Charles,2023-12-15 16:00:07,402,1296.0,43.61452665,3.871080728556718,43.6165623,3.874061
Nouveau Saint-Roch,2023-12-15 15:52:28,Richter,2023-12-15 16:05:39,787,2677.0,43.5992903,3.8756446,43.6037969,3.8989223
Foch,2023-12-15 15:49:31,Odysseum,2023-12-15 16:09:42,1207,4361.0,43.6109947,3.8733344,43.60441055,3.9212018171142855
Comédie,2023-12-15 15:36:08,Foch,2023-12-15 15:40:42,270,663.0,43.60918635,3.8815040936105776,43.6109947,3.8733344
Place Viala,2023-12-15 15:35:35,Plan Cabanes,2023-12-15 15:42:51,433,1602.0,43.6168167,3.8550842,43.60849965,3.868610969046943
Gambetta,2023-12-15 15:35:31,Rue Jules Ferry,2023-12-15 15:41:22,343,1084.0,43.6040006,3.8713632,43.60538357410034,3.881074193325897
